Geography,Date Interval,Date,Units,BodyType,Keepership,Petrol,Diesel,Hybrid electric (petrol),Hybrid electric (diesel),Plug-in hybrid electric (petrol),Plug-in hybrid electric (diesel),Battery electric,Range extended electric,Fuel cell electric,Gas,Others,Total
United Kingdom,Monthly,March 2022,Thousands,Buses and coaches,Total,[low],0.7,0.0,0.0,0.0,0.0,0.1,0.0,[low],[low],0.0,0.8
United Kingdom,Monthly,April 2022,Thousands,Buses and coaches,Total,[low],0.4,0.0,0.0,0.0,0.0,[low],0.0,0.0,0.0,0.0,0.5
United Kingdom,Monthly,May 2022,Thousands,Buses and coaches,Total,0.0,0.4,0.0,0.0,0.0,0.0,[low],0.0,0.0,0.0,0.0,0.5
United Kingdom,Monthly,June 2022,Thousands,Buses and coaches,Total,[low],0.4,0.0,0.0,0.0,0.0,[low],0.0,0.0,0.0,0.0,0.4
United Kingdom,Monthly,July 2022,Thousands,Buses and coaches,Total,[low],0.2,0.0,0.0,0.0,0.0,[low],0.0,0.0,[low],0.0,0.3
United Kingdom,Monthly,August 2022,Thousands,Buses and coaches,Total,[low],0.2,0.0,0.0,0.0,0.0,[low],0.0,0.0,[low],0.0,0.2
United Kingdom,Monthly,September 2022,Thousands,Buses and coaches,Total,[low],0.4,0.0,0.0,0.0,0.0,[low],0.0,0.0,0.0,0.0,0.4
United Kingdom,Monthly,October 2022,Thousands,Buses and coaches,Total,[low],0.2,0.0,0.0,0.0,0.0,[low],0.0,0.0,0.0,0.0,0.3
United Kingdom,Monthly,November 2022,Thousands,Buses and coaches,Total,[low],0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3
United Kingdom,Monthly,December 2022,Thousands,Buses and coaches,Total,[low],0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3
United Kingdom,Monthly,January 2023,Thousands,Buses and coaches,Total,[low],0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3
United Kingdom,Monthly,February 2023,Thousands,Buses and coaches,Total,[low],0.2,0.0,0.0,0.0,0.0,[low],0.0,0.0,0.0,0.0,0.2
United Kingdom,Monthly,March 2023,Thousands,Buses and coaches,Total,[low],0.5,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.7
United Kingdom,Monthly,April 2023,Thousands,Buses and coaches,Total,[low],0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3
United Kingdom,Monthly,May 2023,Thousands,Buses and coaches,Total,[low],0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.4
United Kingdom,Monthly,June 2023,Thousands,Buses and coaches,Total,[low],0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.6
United Kingdom,Monthly,July 2023,Thousands,Buses and coaches,Total,0.0,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.6
United Kingdom,Monthly,August 2023,Thousands,Buses and coaches,Total,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.4
United Kingdom,Monthly,September 2023,Thousands,Buses and coaches,Total,[low],0.7,0.0,0.0,[low],0.0,0.2,0.0,0.0,0.0,0.0,0.9
United Kingdom,Monthly,October 2023,Thousands,Buses and coaches,Total,[low],0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.4
United Kingdom,Monthly,November 2023,Thousands,Buses and coaches,Total,[low],0.4,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.5
United Kingdom,Monthly,December 2023,Thousands,Buses and coaches,Total,[low],0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3
